Date : 2023-07-29 07:14:00
Directory : c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA
Total : 1658 files,  225047 codes, 61858 comments, 65014 blanks, all 351919 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteCasosSorteados.xhtml                                                                | HTML            |        146 |          0 |         17 |        163 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteCasosSuspendidos.xhtml                                                              | HTML            |        128 |          0 |         20 |        148 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteDeArbitros.xhtml                                                                    | HTML            |        155 |          0 |         21 |        176 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteDeArbitrosDisponiblesParaSorteo.xhtml                                               | HTML            |        153 |          0 |         14 |        167 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteDigitalizacion.xhtml                                                                | HTML            |        190 |          0 |         32 |        222 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteEstadosArbitro.xhtml                                                                | HTML            |        294 |          4 |         46 |        344 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteGeneralArbitraje.xhtml                                                              | HTML            |        358 |          0 |         63 |        421 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteIngresos.xhtml                                                                      | HTML            |        130 |          0 |         21 |        151 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteLiberacionLista.xhtml                                                               | HTML            |        152 |          0 |         19 |        171 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteOperadoresSuspendidos.xhtml                                                         | HTML            |        147 |          0 |         21 |        168 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteRadicacionDocumentos.xhtml                                                          | HTML            |        164 |          0 |         23 |        187 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteRepartoPorAbogado.xhtml                                                             | HTML            |        170 |          0 |         19 |        189 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteSalasOcupadas.xhtml                                                                 | HTML            |        137 |          0 |         10 |        147 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteSecretarios.xhtml                                                                   | HTML            |        104 |          0 |         19 |        123 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\arbitraje\reportes\reporteTranscripciones.xhtml                                                               | HTML            |        170 |          0 |         25 |        195 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\casoConformacionLista.xhtml                                                                                   | HTML            |        131 |          0 |         41 |        172 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\error-detail.xhtml                                                                                            | HTML            |         22 |          0 |          2 |         24 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\error.xhtml                                                                                                   | HTML            |        111 |         27 |          1 |        139 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\errorConection.xhtml                                                                                          | HTML            |        110 |         27 |          3 |        140 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\index.xhtml                                                                                                   | HTML            |        114 |         27 |          4 |        145 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\inner_page.xhtml                                                                                              | HTML            |         19 |          0 |          0 |         19 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\listaDeCasosParaSorteoPublicoDeDesignacion.xhtml                                                              | HTML            |         56 |          0 |          8 |         64 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\login.xhtml                                                                                                   | HTML            |         65 |          2 |         20 |         87 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\main.xhtml                                                                                                    | HTML            |         64 |          7 |         10 |         81 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resources\components\breadCrumb.xhtml                                                                         | HTML            |         15 |         11 |          0 |         26 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resources\components\menu.xhtml                                                                               | HTML            |         44 |          1 |          3 |         48 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resources\css\jsfcrud.css                                                                                     | CSS             |         78 |          0 |         12 |         90 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resources\css\loginStyle.css                                                                                  | CSS             |        134 |         20 |         33 |        187 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resources\css\main.css                                                                                        | CSS             |        556 |         12 |         44 |        612 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resources\css\menu.css                                                                                        | CSS             |        476 |         57 |        102 |        635 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resources\css\spinner.css                                                                                     | CSS             |        169 |          9 |         32 |        210 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resources\css\stilos_reportes.css                                                                             | CSS             |          0 |          6 |          0 |          6 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resources\js\MaskedPassword.js                                                                                | JavaScript      |        199 |        180 |         67 |        446 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resources\js\calendarScript.js                                                                                | JavaScript      |         30 |          0 |          1 |         31 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\resultadoSorteo.xhtml                                                                                         | HTML            |         34 |          0 |          8 |         42 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascWeb\src\main\webapp\sorteo.xhtml                                                                                                  | HTML            |         60 |          0 |         13 |         73 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\clientdb.xml                                                                                                                            | XML             |          6 |          0 |          1 |          7 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\npm-debug.log                                                                                                                           | Log             |         22 |          0 |          1 |         23 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\pom.xml                                                                                                                                 | XML             |         39 |          1 |          2 |         42 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\pom.xml                                                                                                          | XML             |          7 |          0 |          0 |          7 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ActualizarClienteDatosContacto.java                                  | Java            |         22 |         35 |          9 |         66 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ActualizarClienteDatosContactoResponse.java                          | Java            |         22 |         35 |          9 |         66 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ArrayOf5774855523488661NillableBuscarInscritosWSOutDTO.java          | Java            |         22 |         41 |          8 |         71 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\BuscarInscritos.java                                                 | Java            |         22 |         35 |          9 |         66 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\BuscarInscritosResponse.java                                         | Java            |         21 |         35 |          9 |         65 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ConsultarDatosBasicosCliente.java                                    | Java            |         22 |         35 |          9 |         66 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ConsultarDatosBasicosClienteResponse.java                            | Java            |         22 |         35 |          9 |         66 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ConsultarHomonimia.java                                              | Java            |         22 |         35 |          9 |         66 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ConsultarHomonimiaResponse.java                                      | Java            |         22 |         35 |          9 |         66 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\CrearClienteDatosContacto.java                                       | Java            |         22 |         35 |          9 |         66 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\CrearClienteDatosContactoResponse.java                               | Java            |         22 |         35 |          9 |         66 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ObjectFactory.java                                                   | Java            |         64 |         94 |         27 |        185 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ServiciosClientesWS.java                                             | Java            |         93 |         60 |         16 |        169 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ServiciosClientesWSService.java                                      | Java            |         60 |         18 |         17 |         95 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ValidarProfesionLiberal.java                                         | Java            |         21 |         35 |          9 |         65 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ValidarProfesionLiberalResponse.java                                 | Java            |         22 |         35 |          9 |         66 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ValidarRolCoordinador.java                                           | Java            |         21 |         35 |          9 |         65 |
| c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\sirepServiciosClientes\src\main\java\co\org\ccb\sirep2\clientes\ws\ValidarRolCoordinadorResponse.java                                   | Java            |         22 |         35 |          9 |         66 |
