"filename", "language", "Java", "XML", "HTML", "Java Properties", "JavaScript", "CSS", "SQL", "Log", "Markdown", "comment", "blank", "total"
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada\interfaces\IDominioFacade.java", "Java", 39, 0, 0, 0, 0, 0, 0, 0, 0, 39, 17, 95
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada\interfaces\IIntegracionSWFacade.java", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 0, 41, 12, 71
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\fachada\interfaces\IRealizacionSorteoFacade.java", "Java", 30, 0, 0, 0, 0, 0, 0, 0, 0, 81, 19, 130
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\fachada\implementacion\SeguridadFacade.java", "Java", 768, 0, 0, 0, 0, 0, 0, 0, 0, 204, 146, 1118
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\fachada\interfaces\ISeguridadFacade.java", "Java", 37, 0, 0, 0, 0, 0, 0, 0, 0, 88, 22, 147
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\servicio\implementacion\ContextoDeSesion.java", "Java", 66, 0, 0, 0, 0, 0, 0, 0, 0, 31, 12, 109
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\servicio\implementacion\ProveedorAutenticacionSIMASC.java", "Java", 130, 0, 0, 0, 0, 0, 0, 0, 0, 85, 27, 242
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\seguridad\servicios\interfaces\IProveedorAutenticacion.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 21
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\util\Constantes.java", "Java", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 21
"c:\Users\Administrador.DESKTOP-HJV5VTB\Downloads\SIMASC_JAVA\SIMASC_JAVA\SimascComun\src\main\java\com\ccb\simasc\comun\util\ControlException.java", "Java", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 27
